
This file was downloaded on 2022-06-19T16:13:05 UTC from snrcat.physics.umanitoba.ca
SNR_id;source_id;energy_domain;instrument;angular_resolution;source;year
G000.0+00.0;;X;ASCA;extended;?;2001
G000.0+00.0;;gamma_TeV;CANGAROO;detected;?;2004
G000.0+00.0;CXOGC J174545.5-285829;X;Chandra;extended;shell, NS? + tail;2020
G000.0+00.0;EGR J1740-2851, 3EG J1746-2851, GeV J1746-2854;gamma_GeV;EGRET;extended;? (association not confirmed in revised catalogue);2008
G000.0+00.0;1FGL J1745.6-2900c, 2FGL J1745.6-2858, 1FHL J1745.6-2900, 3FGL J1745.6-2859c, 2FHL J1745.7-2900, 3FHL J1745.6-2900;gamma_GeV;Fermi;detected;PWN? shell?;2017
G000.0+00.0;HESS J1745-290;gamma_TeV;HESS;detected;BH? other PWN? shell?;2018
G000.0+00.0;;gamma_TeV;MAGIC;detected;?;2006
G000.0+00.0;;X;NuSTAR;detected;PWN? shock+cloud? magnetic flux tube?;2015
G000.0+00.0;;X;Suzaku;extended;shell;2007
G000.0+00.0;VER J1745-290;gamma_TeV;VERITAS;extended;?;2021
G000.0+00.0;;gamma_TeV;Whipple;detected;BH? or SNR?;2004
G000.0+00.0;;X;XMM;extended;shell;2004
G000.1-00.1;;X;Chandra;extended;PSR ? PWN edge ?;2002
G000.1-00.1;1FGL J1746.4-2849c, 2FGL J1746.6-2851c, 1FHL J1746.3-2851, 3FGL J1746.3-2851c;gamma_GeV;Fermi;detected;PWN;2015
G000.1-00.1;;gamma_TeV;HESS;detected;shell? PWN? other?;2018
G000.1-00.1;VER J1746-289;gamma_TeV;VERITAS;detected;PWN?;2021
G000.1-00.1;;X;XMM;extended;centre of a SNR shell ?;2013
G000.3+00.0;EGR J1740-2851, 3EG J1746-2851;gamma_GeV;EGRET;extended;? (association not confirmed in revised catalogue);2008
G000.3+00.0;;gamma_GeV;Fermi;detected;?;2016
G000.3+00.0;;gamma_TeV;HESS;detected;?;2011
G000.9+00.1;;X;ASCA;detected;?;2002
G000.9+00.1;;X;BeppoSAX;detected;NS?;2000
G000.9+00.1;G000.9+00.1;X;Chandra;extended;PWN;2012
G000.9+00.1;;X;Einstein;detected;PWN? (not included in catalogue);1990
G000.9+00.1;;gamma_GeV;Fermi;(missed);;2016
G000.9+00.1;HESS J1747-281;gamma_TeV;HESS;detected;PWN;2018
G000.9+00.1;;X;NuSTAR;;;2021
G000.9+00.1;VER J1747-281;gamma_TeV;VERITAS;extended;PWN?;2021
G000.9+00.1;;X;XMM;extended;PWN;2012
G001.0-00.1;;X;ASCA;(missed);;2002
G001.0-00.1;;X;BeppoSAX;detected;shell, point source;2001
G001.0-00.1;;gamma_GeV;Fermi;(missed);;2016
G001.0-00.1;;gamma_TeV;HESS;detected;?;2011
G001.0-00.1;;X;Suzaku;detected;(centre of) shell, other shells? stellar cluster;2009
G001.0-00.1;;X;XMM;detected;several point sources;2006
G001.4-00.1;;gamma_GeV;Fermi;(missed);;2016
G001.4-00.1;;gamma_TeV;HESS;detected;?;2011
G001.9+00.3;;X;ASCA;detected;?;2002
G001.9+00.3;G001.9+00.3;X;Chandra;extended;shell, radioactive decay;2014
G001.9+00.3;;gamma_GeV;Fermi;(missed);;2016
G001.9+00.3;;gamma_TeV;HESS;(missed);;2014
G001.9+00.3;;gamma_MeV;INTEGRAL-g;(missed);;2020
G001.9+00.3;;X;NuSTAR;extended;shell;2014
G001.9+00.3;;X;Suzaku;extended;shell;2017
G003.7-00.2;;gamma_GeV;Fermi;(missed);;2016
G003.7-00.2;;gamma_TeV;HESS;(missed);;2018
