        RA       DEC                     NAME      S1400    e_S1400    P1400  POLANG   e_P1400  e_POLANG       S74        e_S74     3CNAME         S600      P600      BETA     GAMMA
 299.88362  40.72997                 CYGNUS_A  1605.7735  40.671599  2.41593    50.2  0.106708       0.0  16611.68  1667.590000     3C_405  3613.567711  0.457910 -0.888608 -0.085651
 187.70608  12.38933                     M_87   147.0479   4.860562  1.81558    -0.6  0.025236       0.0   1567.37    89.051934   3C_274.0   436.338553  0.336876 -0.811899 -0.035656
 252.79875   4.98861                    HER_A    46.6135   0.908627  1.14107    43.6  0.002504       0.0   1076.32    75.063179     3C_348   120.352428  0.122123 -1.052856 -0.045649
 260.14362  -0.97900                   3C_353    55.5160   1.179413  1.82420   -49.2  0.008856       0.0    455.26    45.600000   3C_353.0   106.512561  0.407927 -0.720365 -0.025560
 139.52408 -12.09481                  HYDRA_A    40.8499   1.278800  0.01643     8.1  0.001340       0.9    579.59    58.050000     3C_218    96.976365  0.002487 -0.839342 -0.057817
  69.26904  29.67061                    PER_B    49.7285   1.684100  0.07699   -80.5  0.000660       0.1    454.97    46.760000     3C_123    87.455842  0.015926 -0.721306  0.019997
 187.27671   2.05142                  3C_273C    54.9912   1.900300  0.57594   -33.3  0.000560       0.0    149.96    15.000000    3C_273C    54.976965  0.282001 -0.288965  0.099464
  49.95067  41.51169                    3C_84    22.8292   0.684900  0.02805   -73.1  0.000460       0.3    138.40    14.030000     3C__84    38.373723  0.007777 -0.612928  0.000000
 212.83596  52.20250                   3C_295    22.7201   0.681600  0.05771    34.4  0.000400       0.1    120.27    12.030000   3C_295.0    36.726549  0.017623 -0.566802  0.000000
  96.79192  -5.88503                   2C_553    18.4861   0.645900  0.93934    41.4  0.000540       0.0     99.73    10.090000     3C_161    30.046086  0.282999 -0.573250  0.000000
  85.65062  49.85214    ICRF_J054236.1+495107    22.8796   0.686400  0.02072   -67.1  0.000430       0.4     54.99     5.500000     3C_147    29.457629  0.011100 -0.298251  0.000000
  64.58733  38.03017                   3C_111    14.9615   0.302414  0.61389   -13.8  0.012762       0.2    144.36    10.293420     3C_111    28.752845  0.122271 -0.770988  0.000000
 123.40029  48.21719                   3C_196    15.0100   0.450300  0.00817   -57.7  0.000390       1.0    136.40    13.880000     3C_196    28.351936  0.001698 -0.750596  0.000000
 303.61492  23.58136                   3C_409    13.6844   0.473000  0.01287    54.9  0.000540       0.8    153.68    15.620000   3C_409.0    27.474403  0.002301 -0.822613  0.000000
 277.38250  48.74631                  2C_1569    13.7525   0.412600  0.06223    44.2  0.000410       0.1    125.78    12.800000     3C_380    26.024926  0.012876 -0.752786  0.000000
  24.42196  33.15989                    3C_48    16.0177   0.480500  0.07080   -74.0  0.000460       0.1     71.02     7.100000     3C__48    24.603097  0.024527 -0.506525  0.000000
